notch,notchdesc,srg,srgdesc,mcp,mcpdesc
blm/a,(Lajz;III)Z,net/minecraft/client/renderer/RenderBlocks/func_147772_a,(Lnet/minecraft/block/BlockCocoa;III)Z,net/minecraft/client/renderer/RenderBlocks/renderBlockCocoa,(Lnet/minecraft/block/BlockCocoa;III)Z
xk/f,(I)V,net/minecraft/entity/item/EntityItem/func_70081_e,(I)V,net/minecraft/entity/item/EntityItem/dealFireDamage,(I)V
bmi/c,()I,net/minecraft/client/shader/TesselatorVertexState/func_147575_c,()I,net/minecraft/client/shader/TesselatorVertexState/getVertexCount,()I
bch/b,(III)Z,net/minecraft/client/gui/GuiListExtended/func_148181_b,(III)Z,net/minecraft/client/gui/GuiListExtended/func_148181_b,(III)Z
bri/equals,(Ljava/lang/Object;)Z,net/minecraft/client/resources/SimpleResource/equals,(Ljava/lang/Object;)Z,net/minecraft/client/resources/SimpleResource/equals,(Ljava/lang/Object;)Z
dk/e,()S,net/minecraft/nbt/NBTTagDouble/func_150289_e,()S,net/minecraft/nbt/NBTTagDouble/func_150289_e,()S
ri/g,(Lri;)Ljava/lang/String;,net/minecraft/profiler/PlayerUsageSnooper/access$500,(Lnet/minecraft/profiler/PlayerUsageSnooper;)Ljava/lang/String;,net/minecraft/profiler/PlayerUsageSnooper/access$500,(Lnet/minecraft/profiler/PlayerUsageSnooper;)Ljava/lang/String;
dx/hashCode,()I,net/minecraft/nbt/NBTTagString/hashCode,()I,net/minecraft/nbt/NBTTagString/hashCode,()I
bmi/b,()I,net/minecraft/client/shader/TesselatorVertexState/func_147576_b,()I,net/minecraft/client/shader/TesselatorVertexState/getRawBufferIndex,()I
sw/a,(Ljava/lang/String;)V,net/minecraft/entity/EntityLiving/func_94058_c,(Ljava/lang/String;)V,net/minecraft/entity/EntityLiving/setCustomNameTag,(Ljava/lang/String;)V
dh/b,()Ldy;,net/minecraft/nbt/NBTTagCompound/func_74737_b,()Lnet/minecraft/nbt/NBTBase;,net/minecraft/nbt/NBTTagCompound/copy,()Lnet/minecraft/nbt/NBTBase;
akt/a,(Lahb;I)Laor;,net/minecraft/block/BlockEndPortal/func_149915_a,(Lnet/minecraft/world/World;I)Lnet/minecraft/tileentity/TileEntity;,net/minecraft/block/BlockEndPortal/createNewTileEntity,(Lnet/minecraft/world/World;I)Lnet/minecraft/tileentity/TileEntity;
a/b,(Ljava/lang/String;)La;,net/minecraft/util/EnumChatFormatting/func_96300_b,(Ljava/lang/String;)Lnet/minecraft/util/EnumChatFormatting;,net/minecraft/util/EnumChatFormatting/getValueByName,(Ljava/lang/String;)Lnet/minecraft/util/EnumChatFormatting;
ym/a,(I)V,net/minecraft/entity/monster/EntitySlime/func_70799_a,(I)V,net/minecraft/entity/monster/EntitySlime/setSlimeSize,(I)V
wi/b,(Ljava/lang/String;)V,net/minecraft/entity/passive/EntityHorse/func_152120_b,(Ljava/lang/String;)V,net/minecraft/entity/passive/EntityHorse/func_152120_b,(Ljava/lang/String;)V
abm/d_,(Ladd;)I,net/minecraft/item/ItemBow/func_77626_a,(Lnet/minecraft/item/ItemStack;)I,net/minecraft/item/ItemBow/getMaxItemUseDuration,(Lnet/minecraft/item/ItemStack;)I
net/minecraft/realms/RealmsEditBox/mouseClicked,(III)V,net/minecraft/realms/RealmsEditBox/mouseClicked,(III)V,net/minecraft/realms/RealmsEditBox/mouseClicked,(III)V
bpz/a,()I,net/minecraft/client/renderer/texture/TextureMap/func_130086_a,()I,net/minecraft/client/renderer/texture/TextureMap/getTextureType,()I
aoe/g,(Lahb;III)Lazt;,net/minecraft/block/BlockTrapDoor/func_149633_g,(Lnet/minecraft/world/World;III)Lnet/minecraft/util/AxisAlignedBB;,net/minecraft/block/BlockTrapDoor/getSelectedBoundingBoxFromPool,(Lnet/minecraft/world/World;III)Lnet/minecraft/util/AxisAlignedBB;
als/a,(Lahl;III)V,net/minecraft/block/BlockLadder/func_149719_a,(Lnet/minecraft/world/IBlockAccess;III)V,net/minecraft/block/BlockLadder/setBlockBoundsBasedOnState,(Lnet/minecraft/world/IBlockAccess;III)V
bfd/b,(Z)V,net/minecraft/client/gui/inventory/GuiBeacon$Button/func_146140_b,(Z)V,net/minecraft/client/gui/inventory/GuiBeacon$Button/func_146140_b,(Z)V
dk/d,()I,net/minecraft/nbt/NBTTagDouble/func_150287_d,()I,net/minecraft/nbt/NBTTagDouble/func_150287_d,()I
bew/a,(III)V,net/minecraft/client/gui/GuiControls/func_73864_a,(III)V,net/minecraft/client/gui/GuiControls/mouseClicked,(III)V
ato/a,(Ljava/util/List;Ljava/util/Random;IIIII)Lato;,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor5/func_74981_a,(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor5;,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor5/createValidComponent,(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor5;
aif/a,(Lahb;Ljava/util/Random;II)V,net/minecraft/world/biome/BiomeGenForest/func_76728_a,(Lnet/minecraft/world/World;Ljava/util/Random;II)V,net/minecraft/world/biome/BiomeGenForest/decorate,(Lnet/minecraft/world/World;Ljava/util/Random;II)V
bmi/g,()Z,net/minecraft/client/shader/TesselatorVertexState/func_147574_g,()Z,net/minecraft/client/shader/TesselatorVertexState/getHasColor,()Z
fc/decode,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/buffer/ByteBuf;Ljava/util/List;)V,net/minecraft/util/MessageDeserializer2/decode,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/buffer/ByteBuf;Ljava/util/List;)V,net/minecraft/util/MessageDeserializer2/decode,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/buffer/ByteBuf;Ljava/util/List;)V
aa/c,()Ljava/lang/String;,net/minecraft/command/ICommand/func_71517_b,()Ljava/lang/String;,net/minecraft/command/ICommand/getCommandName,()Ljava/lang/String;
bke/j,()Z,net/minecraft/client/particle/EntityFireworkStarterFX/func_92037_i,()Z,net/minecraft/client/particle/EntityFireworkStarterFX/func_92037_i,()Z
sv/e,(F)V,net/minecraft/entity/EntityLivingBase/func_70034_d,(F)V,net/minecraft/entity/EntityLivingBase/setRotationYawHead,(F)V
bdb/m,()V,net/minecraft/client/gui/GuiCreateWorld/func_146281_b,()V,net/minecraft/client/gui/GuiCreateWorld/onGuiClosed,()V
aij/a,(Ljava/util/Random;)Larc;,net/minecraft/world/biome/BiomeGenSnow/func_150567_a,(Ljava/util/Random;)Lnet/minecraft/world/gen/feature/WorldGenAbstractTree;,net/minecraft/world/biome/BiomeGenSnow/func_150567_a,(Ljava/util/Random;)Lnet/minecraft/world/gen/feature/WorldGenAbstractTree;
sa/i,(I)V,net/minecraft/entity/Entity/func_145781_i,(I)V,net/minecraft/entity/Entity/func_145781_i,(I)V
r/toString,()Ljava/lang/String;,net/minecraft/util/ChunkCoordinates/toString,()Ljava/lang/String;,net/minecraft/util/ChunkCoordinates/toString,()Ljava/lang/String;
et/writeBytes,(Ljava/io/InputStream;I)I,net/minecraft/network/PacketBuffer/writeBytes,(Ljava/io/InputStream;I)I,net/minecraft/network/PacketBuffer/writeBytes,(Ljava/io/InputStream;I)I
abq/a,(Ladb;Labt;Ljava/util/List;)V,net/minecraft/item/ItemCoal/func_150895_a,(Lnet/minecraft/item/Item;Lnet/minecraft/creativetab/CreativeTabs;Ljava/util/List;)V,net/minecraft/item/ItemCoal/getSubItems,(Lnet/minecraft/item/Item;Lnet/minecraft/creativetab/CreativeTabs;Ljava/util/List;)V
anj/a,(II)Lrf;,net/minecraft/block/BlockSapling/func_149691_a,(II)Lnet/minecraft/util/IIcon;,net/minecraft/block/BlockSapling/getIcon,(II)Lnet/minecraft/util/IIcon;
br/a,()I,net/minecraft/command/CommandSpreadPlayers/func_82362_a,()I,net/minecraft/command/CommandSpreadPlayers/getRequiredPermissionLevel,()I
net/minecraft/realms/RealmsScreen/renderBackground,()V,net/minecraft/realms/RealmsScreen/renderBackground,()V,net/minecraft/realms/RealmsScreen/renderBackground,()V
bmi/f,()Z,net/minecraft/client/shader/TesselatorVertexState/func_147570_f,()Z,net/minecraft/client/shader/TesselatorVertexState/getHasNormals,()Z
sv/f,(F)V,net/minecraft/entity/EntityLivingBase/func_70691_i,(F)V,net/minecraft/entity/EntityLivingBase/heal,(F)V
oi/a,(Lyz;DDDDILft;)V,net/minecraft/server/management/ServerConfigurationManager/func_148543_a,(Lnet/minecraft/entity/player/EntityPlayer;DDDDILnet/minecraft/network/Packet;)V,net/minecraft/server/management/ServerConfigurationManager/sendToAllNearExcept,(Lnet/minecraft/entity/player/EntityPlayer;DDDDILnet/minecraft/network/Packet;)V
bng/a,(Lsv;DDDFF)V,net/minecraft/client/renderer/entity/RenderChicken/func_76986_a,(Lnet/minecraft/entity/EntityLivingBase;DDDFF)V,net/minecraft/client/renderer/entity/RenderChicken/doRender,(Lnet/minecraft/entity/EntityLivingBase;DDDFF)V
aek/a,(I)I,net/minecraft/item/ItemCloth/func_77647_b,(I)I,net/minecraft/item/ItemCloth/getMetadata,(I)I
xk/b,(I)V,net/minecraft/entity/item/EntityItem/func_71027_c,(I)V,net/minecraft/entity/item/EntityItem/travelToDimension,(I)V
blt/b,(D)V,net/minecraft/client/renderer/EntityRenderer/func_78463_b,(D)V,net/minecraft/client/renderer/EntityRenderer/enableLightmap,(D)V
al/c,()Ljava/lang/String;,net/minecraft/command/CommandDefaultGameMode/func_71517_b,()Ljava/lang/String;,net/minecraft/command/CommandDefaultGameMode/getCommandName,()Ljava/lang/String;
axs/a,(IIII)[I,net/minecraft/world/gen/layer/GenLayerRemoveTooMuchOcean/func_75904_a,(IIII)[I,net/minecraft/world/gen/layer/GenLayerRemoveTooMuchOcean/getInts,(IIII)[I
bmi/e,()Z,net/minecraft/client/shader/TesselatorVertexState/func_147571_e,()Z,net/minecraft/client/shader/TesselatorVertexState/getHasBrightness,()Z
sv/g,(F)V,net/minecraft/entity/EntityLivingBase/func_70606_j,(F)V,net/minecraft/entity/EntityLivingBase/setHealth,(F)V
bke/h,()V,net/minecraft/client/particle/EntityFireworkStarterFX/func_70071_h_,()V,net/minecraft/client/particle/EntityFireworkStarterFX/onUpdate,()V
dk/a,()B,net/minecraft/nbt/NBTTagDouble/func_74732_a,()B,net/minecraft/nbt/NBTTagDouble/getId,()B
blt/a,(D)V,net/minecraft/client/renderer/EntityRenderer/func_78483_a,(D)V,net/minecraft/client/renderer/EntityRenderer/disableLightmap,(D)V
lp/f,(Lazx;)Ljava/util/List;,net/minecraft/scoreboard/ServerScoreboard/func_96548_f,(Lnet/minecraft/scoreboard/ScoreObjective;)Ljava/util/List;,net/minecraft/scoreboard/ServerScoreboard/func_96548_f,(Lnet/minecraft/scoreboard/ScoreObjective;)Ljava/util/List;
da/b,()Ljava/util/Set;,net/minecraft/util/RegistrySimple/func_148742_b,()Ljava/util/Set;,net/minecraft/util/RegistrySimple/getKeys,()Ljava/util/Set;
bmi/d,()Z,net/minecraft/client/shader/TesselatorVertexState/func_147573_d,()Z,net/minecraft/client/shader/TesselatorVertexState/getHasTexture,()Z
kc/a,()I,net/minecraft/network/ServerStatusResponse$PlayerCountData/func_151332_a,()I,net/minecraft/network/ServerStatusResponse$PlayerCountData/func_151332_a,()I
sv/h,(F)V,net/minecraft/entity/EntityLivingBase/func_70675_k,(F)V,net/minecraft/entity/EntityLivingBase/damageArmor,(F)V
add/c,()Lrf;,net/minecraft/item/ItemStack/func_77954_c,()Lnet/minecraft/util/IIcon;,net/minecraft/item/ItemStack/getIconIndex,()Lnet/minecraft/util/IIcon;
aje/a,(Lahb;IIIIILaji;)V,net/minecraft/block/BlockRailBase/func_150048_a,(Lnet/minecraft/world/World;IIIIILnet/minecraft/block/Block;)V,net/minecraft/block/BlockRailBase/func_150048_a,(Lnet/minecraft/world/World;IIIIILnet/minecraft/block/Block;)V
app/a,(Lahl;III)V,net/minecraft/block/BlockPistonBase/func_149719_a,(Lnet/minecraft/world/IBlockAccess;III)V,net/minecraft/block/BlockPistonBase/setBlockBoundsBasedOnState,(Lnet/minecraft/world/IBlockAccess;III)V
ahb/a,(Lsa;Ljava/lang/String;FF)V,net/minecraft/world/World/func_72956_a,(Lnet/minecraft/entity/Entity;Ljava/lang/String;FF)V,net/minecraft/world/World/playSoundAtEntity,(Lnet/minecraft/entity/Entity;Ljava/lang/String;FF)V
bpa/a,(Lsw;DDDFF)V,net/minecraft/client/renderer/entity/RenderVillager/func_76986_a,(Lnet/minecraft/entity/EntityLiving;DDDFF)V,net/minecraft/client/renderer/entity/RenderVillager/doRender,(Lnet/minecraft/entity/EntityLiving;DDDFF)V
bil/a,()I,net/minecraft/client/model/ModelZombieVillager/func_82897_a,()I,net/minecraft/client/model/ModelZombieVillager/func_82897_a,()I
bjf/b,(I)Lsa;,net/minecraft/client/multiplayer/WorldClient/func_73028_b,(I)Lnet/minecraft/entity/Entity;,net/minecraft/client/multiplayer/WorldClient/removeEntityFromWorld,(I)Lnet/minecraft/entity/Entity;
ako/a,(II)Lrf;,net/minecraft/block/BlockDoublePlant/func_149691_a,(II)Lnet/minecraft/util/IIcon;,net/minecraft/block/BlockDoublePlant/getIcon,(II)Lnet/minecraft/util/IIcon;
kc/b,()I,net/minecraft/network/ServerStatusResponse$PlayerCountData/func_151333_b,()I,net/minecraft/network/ServerStatusResponse$PlayerCountData/func_151333_b,()I
bx/c,(Lac;)Ljava/lang/String;,net/minecraft/command/server/CommandTestForBlock/func_71518_a,(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,net/minecraft/command/server/CommandTestForBlock/getCommandUsage,(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;
bm/c,(Lac;)Ljava/lang/String;,net/minecraft/command/server/CommandSetBlock/func_71518_a,(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,net/minecraft/command/server/CommandSetBlock/getCommandUsage,(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;
tl/b,(Lth;)Lti;,net/minecraft/entity/ai/attributes/BaseAttributeMap/func_111150_b,(Lnet/minecraft/entity/ai/attributes/IAttribute;)Lnet/minecraft/entity/ai/attributes/IAttributeInstance;,net/minecraft/entity/ai/attributes/BaseAttributeMap/registerAttribute,(Lnet/minecraft/entity/ai/attributes/IAttribute;)Lnet/minecraft/entity/ai/attributes/IAttributeInstance;
mt/a,(Lapx;Z)Ljava/util/List;,net/minecraft/world/WorldServer/func_72920_a,(Lnet/minecraft/world/chunk/Chunk;Z)Ljava/util/List;,net/minecraft/world/WorldServer/getPendingBlockUpdates,(Lnet/minecraft/world/chunk/Chunk;Z)Ljava/util/List;
jl/c,()I,net/minecraft/network/play/client/C09PacketHeldItemChange/func_149614_c,()I,net/minecraft/network/play/client/C09PacketHeldItemChange/func_149614_c,()I
bfq/e,()V,net/minecraft/client/gui/GuiEnchantment/func_73876_c,()V,net/minecraft/client/gui/GuiEnchantment/updateScreen,()V
gk/d,()[B,net/minecraft/network/play/server/S22PacketMultiBlockChange/func_148921_d,()[B,net/minecraft/network/play/server/S22PacketMultiBlockChange/func_148921_d,()[B
bun/values,()[Lbun;,net/minecraft/client/stream/IStream$AuthFailureReason/values,()[Lnet/minecraft/client/stream/IStream$AuthFailureReason;,net/minecraft/client/stream/IStream$AuthFailureReason/values,()[Lnet/minecraft/client/stream/IStream$AuthFailureReason;
pn/b,()Lpo;,net/minecraft/util/TupleIntJsonSerializable/func_151187_b,()Lnet/minecraft/util/IJsonSerializable;,net/minecraft/util/TupleIntJsonSerializable/getJsonSerializableValue,()Lnet/minecraft/util/IJsonSerializable;
bb/c,(Lac;)Ljava/lang/String;,net/minecraft/command/server/CommandNetstat/func_71518_a,(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,net/minecraft/command/server/CommandNetstat/getCommandUsage,(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;
bjf/a,(I)Lsa;,net/minecraft/client/multiplayer/WorldClient/func_73045_a,(I)Lnet/minecraft/entity/Entity;,net/minecraft/client/multiplayer/WorldClient/getEntityByID,(I)Lnet/minecraft/entity/Entity;
bqn/b,(Lbqx;)Z,net/minecraft/client/resources/AbstractResourcePack/func_110589_b,(Lnet/minecraft/util/ResourceLocation;)Z,net/minecraft/client/resources/AbstractResourcePack/resourceExists,(Lnet/minecraft/util/ResourceLocation;)Z
ana/d,(Lahl;III)I,net/minecraft/block/BlockRedstoneWire/func_149720_d,(Lnet/minecraft/world/IBlockAccess;III)I,net/minecraft/block/BlockRedstoneWire/colorMultiplier,(Lnet/minecraft/world/IBlockAccess;III)I
bgh/d,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148310_d,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148310_d,()Z
ae/a,()I,net/minecraft/command/server/CommandAchievement/func_82362_a,()I,net/minecraft/command/server/CommandAchievement/getRequiredPermissionLevel,()I
bqq/a,(Lbra;)V,net/minecraft/client/resources/FallbackResourceManager/func_110538_a,(Lnet/minecraft/client/resources/IResourcePack;)V,net/minecraft/client/resources/FallbackResourceManager/addResourcePack,(Lnet/minecraft/client/resources/IResourcePack;)V
ara/b,(II[Laji;[Lahu;)V,net/minecraft/world/gen/ChunkProviderEnd/func_147421_b,(II[Lnet/minecraft/block/Block;[Lnet/minecraft/world/biome/BiomeGenBase;)V,net/minecraft/world/gen/ChunkProviderEnd/func_147421_b,(II[Lnet/minecraft/block/Block;[Lnet/minecraft/world/biome/BiomeGenBase;)V
apr/a,(Lahb;III)Lazt;,net/minecraft/block/BlockPistonMoving/func_149668_a,(Lnet/minecraft/world/World;III)Lnet/minecraft/util/AxisAlignedBB;,net/minecraft/block/BlockPistonMoving/getCollisionBoundingBoxFromPool,(Lnet/minecraft/world/World;III)Lnet/minecraft/util/AxisAlignedBB;
ss/V,()Z,net/minecraft/entity/EntityHanging/func_142008_O,()Z,net/minecraft/entity/EntityHanging/shouldSetPosAfterLoading,()Z
lt/a,(Lahk;Z)Ljava/lang/String;,net/minecraft/server/dedicated/DedicatedServer/func_71206_a,(Lnet/minecraft/world/WorldSettings$GameType;Z)Ljava/lang/String;,net/minecraft/server/dedicated/DedicatedServer/shareToLAN,(Lnet/minecraft/world/WorldSettings$GameType;Z)Ljava/lang/String;
aek/b_,(I)Lrf;,net/minecraft/item/ItemCloth/func_77617_a,(I)Lnet/minecraft/util/IIcon;,net/minecraft/item/ItemCloth/getIconFromDamage,(I)Lnet/minecraft/util/IIcon;
ap/a,()I,net/minecraft/command/CommandXP/func_82362_a,()I,net/minecraft/command/CommandXP/getRequiredPermissionLevel,()I
ajb/a,(II)Lrf;,net/minecraft/block/BlockAnvil/func_149691_a,(II)Lnet/minecraft/util/IIcon;,net/minecraft/block/BlockAnvil/getIcon,(II)Lnet/minecraft/util/IIcon;
qh/a,(Ljava/lang/String;)Z,net/minecraft/util/MathHelper/func_76139_a,(Ljava/lang/String;)Z,net/minecraft/util/MathHelper/stringNullOrLengthZero,(Ljava/lang/String;)Z
amh/a,(II)Lrf;,net/minecraft/block/BlockNewLeaf/func_149691_a,(II)Lnet/minecraft/util/IIcon;,net/minecraft/block/BlockNewLeaf/getIcon,(II)Lnet/minecraft/util/IIcon;
bpv/b,(Lbpw;)Z,net/minecraft/client/renderer/texture/Stitcher/func_94311_c,(Lnet/minecraft/client/renderer/texture/Stitcher$Holder;)Z,net/minecraft/client/renderer/texture/Stitcher/expandAndAllocateSlot,(Lnet/minecraft/client/renderer/texture/Stitcher$Holder;)Z
bqp/b,()Ljava/lang/String;,net/minecraft/client/resources/DefaultResourcePack/func_130077_b,()Ljava/lang/String;,net/minecraft/client/resources/DefaultResourcePack/getPackName,()Ljava/lang/String;
wp/b,(Lrx;)Lwp;,net/minecraft/entity/passive/EntitySheep/func_90011_a,(Lnet/minecraft/entity/EntityAgeable;)Lnet/minecraft/entity/passive/EntitySheep;,net/minecraft/entity/passive/EntitySheep/createChild,(Lnet/minecraft/entity/EntityAgeable;)Lnet/minecraft/entity/passive/EntitySheep;
bgh/e,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148309_e,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148309_e,()Z
kb/b,()Lkc;,net/minecraft/network/ServerStatusResponse/func_151318_b,()Lnet/minecraft/network/ServerStatusResponse$PlayerCountData;,net/minecraft/network/ServerStatusResponse/func_151318_b,()Lnet/minecraft/network/ServerStatusResponse$PlayerCountData;
lp/b,()V,net/minecraft/scoreboard/ServerScoreboard/func_96551_b,()V,net/minecraft/scoreboard/ServerScoreboard/func_96551_b,()V
bjm/a,(Ljava/lang/String;I)I,net/minecraft/client/multiplayer/ServerAddress/func_78862_a,(Ljava/lang/String;I)I,net/minecraft/client/multiplayer/ServerAddress/parseIntWithDefault,(Ljava/lang/String;I)I
bgh/g,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148314_g,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148314_g,()Z
yx/a,(Ladb;IZZ)V,net/minecraft/entity/player/InventoryPlayer/func_146030_a,(Lnet/minecraft/item/Item;IZZ)V,net/minecraft/entity/player/InventoryPlayer/func_146030_a,(Lnet/minecraft/item/Item;IZZ)V
sa/a,(Ladb;IF)Lxk;,net/minecraft/entity/Entity/func_145778_a,(Lnet/minecraft/item/Item;IF)Lnet/minecraft/entity/item/EntityItem;,net/minecraft/entity/Entity/func_145778_a,(Lnet/minecraft/item/Item;IF)Lnet/minecraft/entity/item/EntityItem;
bua/getUserInfoCallback,(Ltv/twitch/ErrorCode;Ltv/twitch/broadcast/UserInfo;)V,net/minecraft/client/stream/BroadcastController/getUserInfoCallback,(Ltv/twitch/ErrorCode;Ltv/twitch/broadcast/UserInfo;)V,net/minecraft/client/stream/BroadcastController/getUserInfoCallback,(Ltv/twitch/ErrorCode;Ltv/twitch/broadcast/UserInfo;)V
bbu/a,(Ljava/lang/String;IZ)Ljava/lang/String;,net/minecraft/client/gui/FontRenderer/func_78262_a,(Ljava/lang/String;IZ)Ljava/lang/String;,net/minecraft/client/gui/FontRenderer/trimStringToWidth,(Ljava/lang/String;IZ)Ljava/lang/String;
apw/a,(Ljava/lang/Class;Lazt;Ljava/util/List;Lsj;)V,net/minecraft/world/chunk/EmptyChunk/func_76618_a,(Ljava/lang/Class;Lnet/minecraft/util/AxisAlignedBB;Ljava/util/List;Lnet/minecraft/command/IEntitySelector;)V,net/minecraft/world/chunk/EmptyChunk/getEntitiesOfTypeWithinAAAB,(Ljava/lang/Class;Lnet/minecraft/util/AxisAlignedBB;Ljava/util/List;Lnet/minecraft/command/IEntitySelector;)V
bqe/a,()Ljava/lang/String;,net/minecraft/client/renderer/texture/TextureAtlasSprite$1/call,()Ljava/lang/String;,net/minecraft/client/renderer/texture/TextureAtlasSprite$1/call,()Ljava/lang/String;
bgh/f,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148308_f,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148308_f,()Z
azb/call,()Ljava/lang/Object;,net/minecraft/world/storage/WorldInfo$9/call,()Ljava/lang/Object;,net/minecraft/world/storage/WorldInfo$9/call,()Ljava/lang/Object;
k/a,(I)I,net/minecraft/crash/CrashReportCategory/func_85073_a,(I)I,net/minecraft/crash/CrashReportCategory/getPrunedStackTrace,(I)I
avc/a,(Lasv;)Z,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stronghold/func_74991_a,(Lnet/minecraft/world/gen/structure/StructureBoundingBox;)Z,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stronghold/canStrongholdGoDeeper,(Lnet/minecraft/world/gen/structure/StructureBoundingBox;)Z
bk/b,(Lac;[Ljava/lang/String;)V,net/minecraft/command/server/CommandScoreboard/func_71515_b,(Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,net/minecraft/command/server/CommandScoreboard/processCommand,(Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V
ahb/a,(Lazw;Lazw;)Lazu;,net/minecraft/world/World/func_72933_a,(Lnet/minecraft/util/Vec3;Lnet/minecraft/util/Vec3;)Lnet/minecraft/util/MovingObjectPosition;,net/minecraft/world/World/rayTraceBlocks,(Lnet/minecraft/util/Vec3;Lnet/minecraft/util/Vec3;)Lnet/minecraft/util/MovingObjectPosition;
ws/b,(ZI)V,net/minecraft/entity/passive/EntitySquid/func_70628_a,(ZI)V,net/minecraft/entity/passive/EntitySquid/dropFewItems,(ZI)V
bgh/h,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148307_h,()Z,net/minecraft/client/resources/ResourcePackListEntryDefault/func_148307_h,()Z
mr/b,()V,net/minecraft/server/management/PlayerManager$PlayerInstance/func_73254_a,()V,net/minecraft/server/management/PlayerManager$PlayerInstance/sendChunkUpdate,()V
bfl/a,(Ladd;II)V,net/minecraft/client/gui/inventory/GuiContainerCreative/func_146285_a,(Lnet/minecraft/item/ItemStack;II)V,net/minecraft/client/gui/inventory/GuiContainerCreative/renderToolTip,(Lnet/minecraft/item/ItemStack;II)V
bbv/a,(FII)V,net/minecraft/client/gui/GuiIngame/func_73829_a,(FII)V,net/minecraft/client/gui/GuiIngame/renderVignette,(FII)V
alh/d,(Lahl;III)I,net/minecraft/block/BlockGrass/func_149720_d,(Lnet/minecraft/world/IBlockAccess;III)I,net/minecraft/block/BlockGrass/colorMultiplier,(Lnet/minecraft/world/IBlockAccess;III)I
sv/m,(F)V,net/minecraft/entity/EntityLivingBase/func_110149_m,(F)V,net/minecraft/entity/EntityLivingBase/setAbsorptionAmount,(F)V
bjn/d,()Z,net/minecraft/client/multiplayer/ServerData/func_152585_d,()Z,net/minecraft/client/multiplayer/ServerData/func_152585_d,()Z
wh/b,(ZI)V,net/minecraft/entity/passive/EntityCow/func_70628_a,(ZI)V,net/minecraft/entity/passive/EntityCow/dropFewItems,(ZI)V
bv/b,(Lac;[Ljava/lang/String;)V,net/minecraft/command/server/CommandTeleport/func_71515_b,(Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,net/minecraft/command/server/CommandTeleport/processCommand,(Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V
ahb/b,(Ljava/lang/String;III)Lagt;,net/minecraft/world/World/func_147440_b,(Ljava/lang/String;III)Lnet/minecraft/world/ChunkPosition;,net/minecraft/world/World/findClosestStructure,(Ljava/lang/String;III)Lnet/minecraft/world/ChunkPosition;
bcl/b,(IIIIII)V,net/minecraft/client/gui/GuiOptionsRowList$Row/func_148277_b,(IIIIII)V,net/minecraft/client/gui/GuiOptionsRowList$Row/mouseReleased,(IIIIII)V
at/b,(Lac;[Ljava/lang/String;)V,net/minecraft/command/CommandGive/func_71515_b,(Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,net/minecraft/command/CommandGive/processCommand,(Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V
mr/a,(III)V,net/minecraft/server/management/PlayerManager$PlayerInstance/func_151253_a,(III)V,net/minecraft/server/management/PlayerManager$PlayerInstance/flagChunkForUpdate,(III)V
mr/a,()V,net/minecraft/server/management/PlayerManager$PlayerInstance/func_111194_a,()V,net/minecraft/server/management/PlayerManager$PlayerInstance/processChunk,()V
apx/a,(Lahn;III)I,net/minecraft/world/chunk/Chunk/func_76614_a,(Lnet/minecraft/world/EnumSkyBlock;III)I,net/minecraft/world/chunk/Chunk/getSavedLightValue,(Lnet/minecraft/world/EnumSkyBlock;III)I
aae/b,()Ljava/lang/String;,net/minecraft/inventory/InventoryCrafting/func_145825_b,()Ljava/lang/String;,net/minecraft/inventory/InventoryCrafting/getInventoryName,()Ljava/lang/String;
