notch,srg,mcp
als,net/minecraft/block/BlockLadder,net/minecraft/block/BlockLadder
alv,net/minecraft/block/BlockLever,net/minecraft/block/BlockLever
alx,net/minecraft/block/BlockLog,net/minecraft/block/BlockLog
alw,net/minecraft/block/BlockLiquid,net/minecraft/block/BlockLiquid
alz,net/minecraft/block/BlockCompressed,net/minecraft/block/BlockCompressed
aly,net/minecraft/block/BlockMelon,net/minecraft/block/BlockMelon
ama,net/minecraft/block/BlockMobSpawner,net/minecraft/block/BlockMobSpawner
amc,net/minecraft/block/BlockMushroom,net/minecraft/block/BlockMushroom
amb,net/minecraft/block/BlockSilverfish,net/minecraft/block/BlockSilverfish
amd,net/minecraft/block/BlockMycelium,net/minecraft/block/BlockMycelium
amg,net/minecraft/block/BlockNetherrack,net/minecraft/block/BlockNetherrack
amf,net/minecraft/block/BlockNetherWart,net/minecraft/block/BlockNetherWart
ami,net/minecraft/block/BlockNewLog,net/minecraft/block/BlockNewLog
amh,net/minecraft/block/BlockNewLeaf,net/minecraft/block/BlockNewLeaf
amk,net/minecraft/block/BlockObsidian,net/minecraft/block/BlockObsidian
amj,net/minecraft/block/BlockNote,net/minecraft/block/BlockNote
amm,net/minecraft/block/BlockOldLog,net/minecraft/block/BlockOldLog
aml,net/minecraft/block/BlockOldLeaf,net/minecraft/block/BlockOldLeaf
amo,net/minecraft/block/BlockPackedIce,net/minecraft/block/BlockPackedIce
amn,net/minecraft/block/BlockOre,net/minecraft/block/BlockOre
amq,net/minecraft/block/BlockPortal$Size,net/minecraft/block/BlockPortal$Size
amp,net/minecraft/block/BlockPortal,net/minecraft/block/BlockPortal
ams,net/minecraft/block/BlockCompressedPowered,net/minecraft/block/BlockCompressedPowered
amr,net/minecraft/block/BlockPotato,net/minecraft/block/BlockPotato
amu,net/minecraft/block/BlockPressurePlate,net/minecraft/block/BlockPressurePlate
amt,net/minecraft/block/BlockRailPowered,net/minecraft/block/BlockRailPowered
amw,net/minecraft/block/BlockPumpkin,net/minecraft/block/BlockPumpkin
amv,net/minecraft/block/BlockPressurePlate$Sensitivity,net/minecraft/block/BlockPressurePlate$Sensitivity
amy,net/minecraft/block/BlockRail,net/minecraft/block/BlockRail
amx,net/minecraft/block/BlockQuartz,net/minecraft/block/BlockQuartz
amz,net/minecraft/block/BlockRedstoneOre,net/minecraft/block/BlockRedstoneOre
anb,net/minecraft/block/BlockRedstoneLight,net/minecraft/block/BlockRedstoneLight
ana,net/minecraft/block/BlockRedstoneWire,net/minecraft/block/BlockRedstoneWire
and,net/minecraft/block/BlockRedstoneTorch$Toggle,net/minecraft/block/BlockRedstoneTorch$Toggle
anc,net/minecraft/block/BlockRedstoneTorch,net/minecraft/block/BlockRedstoneTorch
anf,net/minecraft/block/BlockRedstoneRepeater,net/minecraft/block/BlockRedstoneRepeater
ane,net/minecraft/block/BlockReed,net/minecraft/block/BlockReed
anh,net/minecraft/block/BlockSand,net/minecraft/block/BlockSand
ang,net/minecraft/block/BlockRotatedPillar,net/minecraft/block/BlockRotatedPillar
anj,net/minecraft/block/BlockSapling,net/minecraft/block/BlockSapling
ani,net/minecraft/block/BlockSandStone,net/minecraft/block/BlockSandStone
anl,net/minecraft/block/BlockSkull,net/minecraft/block/BlockSkull
ank,net/minecraft/block/BlockSign,net/minecraft/block/BlockSign
ann,net/minecraft/block/BlockSnow,net/minecraft/block/BlockSnow
anm,net/minecraft/block/BlockSnowBlock,net/minecraft/block/BlockSnowBlock
anp,net/minecraft/block/BlockSponge,net/minecraft/block/BlockSponge
ano,net/minecraft/block/BlockSoulSand,net/minecraft/block/BlockSoulSand
anr,net/minecraft/block/BlockStainedGlassPane,net/minecraft/block/BlockStainedGlassPane
anq,net/minecraft/block/BlockStainedGlass,net/minecraft/block/BlockStainedGlass
ant,net/minecraft/block/BlockStaticLiquid,net/minecraft/block/BlockStaticLiquid
ans,net/minecraft/block/BlockStairs,net/minecraft/block/BlockStairs
anv,net/minecraft/block/BlockStone,net/minecraft/block/BlockStone
anu,net/minecraft/block/BlockStem,net/minecraft/block/BlockStem
anx,net/minecraft/block/BlockButtonStone,net/minecraft/block/BlockButtonStone
anw,net/minecraft/block/BlockStoneBrick,net/minecraft/block/BlockStoneBrick
anz,net/minecraft/block/BlockTallGrass,net/minecraft/block/BlockTallGrass
any,net/minecraft/block/BlockStoneSlab,net/minecraft/block/BlockStoneSlab
aoa,net/minecraft/block/BlockPane,net/minecraft/block/BlockPane
aoc,net/minecraft/block/BlockTorch,net/minecraft/block/BlockTorch
aob,net/minecraft/block/BlockTNT,net/minecraft/block/BlockTNT
aoe,net/minecraft/block/BlockTrapDoor,net/minecraft/block/BlockTrapDoor
aod,net/minecraft/block/BlockLeavesBase,net/minecraft/block/BlockLeavesBase
aog,net/minecraft/block/BlockTripWireHook,net/minecraft/block/BlockTripWireHook
aof,net/minecraft/block/BlockTripWire,net/minecraft/block/BlockTripWire
aoi,net/minecraft/block/BlockWall,net/minecraft/block/BlockWall
aoh,net/minecraft/block/BlockVine,net/minecraft/block/BlockVine
aok,net/minecraft/block/BlockWeb,net/minecraft/block/BlockWeb
aoj,net/minecraft/block/BlockLilyPad,net/minecraft/block/BlockLilyPad
aom,net/minecraft/block/BlockWood,net/minecraft/block/BlockWood
aol,net/minecraft/block/BlockPressurePlateWeighted,net/minecraft/block/BlockPressurePlateWeighted
aoo,net/minecraft/block/BlockWoodSlab,net/minecraft/block/BlockWoodSlab
aon,net/minecraft/block/BlockButtonWood,net/minecraft/block/BlockButtonWood
aoq,net/minecraft/tileentity/TileEntityBeacon,net/minecraft/tileentity/TileEntityBeacon
aop,net/minecraft/block/BlockCarpet,net/minecraft/block/BlockCarpet
aos,net/minecraft/tileentity/TileEntity$1,net/minecraft/tileentity/TileEntity$1
aor,net/minecraft/tileentity/TileEntity,net/minecraft/tileentity/TileEntity
aou,net/minecraft/tileentity/TileEntity$3,net/minecraft/tileentity/TileEntity$3
aot,net/minecraft/tileentity/TileEntity$2,net/minecraft/tileentity/TileEntity$2
aow,net/minecraft/tileentity/TileEntityChest,net/minecraft/tileentity/TileEntityChest
aov,net/minecraft/tileentity/TileEntityBrewingStand,net/minecraft/tileentity/TileEntityBrewingStand
aoy,net/minecraft/tileentity/TileEntityCommandBlock$1,net/minecraft/tileentity/TileEntityCommandBlock$1
aox,net/minecraft/tileentity/TileEntityCommandBlock,net/minecraft/tileentity/TileEntityCommandBlock
aoz,net/minecraft/tileentity/TileEntityComparator,net/minecraft/tileentity/TileEntityComparator
apb,net/minecraft/tileentity/TileEntityDispenser,net/minecraft/tileentity/TileEntityDispenser
apa,net/minecraft/tileentity/TileEntityDaylightDetector,net/minecraft/tileentity/TileEntityDaylightDetector
apd,net/minecraft/tileentity/TileEntityEnchantmentTable,net/minecraft/tileentity/TileEntityEnchantmentTable
apc,net/minecraft/tileentity/TileEntityDropper,net/minecraft/tileentity/TileEntityDropper
apf,net/minecraft/tileentity/TileEntityFlowerPot,net/minecraft/tileentity/TileEntityFlowerPot
ape,net/minecraft/tileentity/TileEntityEnderChest,net/minecraft/tileentity/TileEntityEnderChest
aph,net/minecraft/tileentity/IHopper,net/minecraft/tileentity/IHopper
apg,net/minecraft/tileentity/TileEntityFurnace,net/minecraft/tileentity/TileEntityFurnace
apj,net/minecraft/tileentity/TileEntityMobSpawner,net/minecraft/tileentity/TileEntityMobSpawner
api,net/minecraft/tileentity/TileEntityHopper,net/minecraft/tileentity/TileEntityHopper
apl,net/minecraft/tileentity/TileEntityNote,net/minecraft/tileentity/TileEntityNote
apk,net/minecraft/tileentity/TileEntityMobSpawner$1,net/minecraft/tileentity/TileEntityMobSpawner$1
apn,net/minecraft/tileentity/TileEntitySkull,net/minecraft/tileentity/TileEntitySkull
apm,net/minecraft/tileentity/TileEntitySign,net/minecraft/tileentity/TileEntitySign
app,net/minecraft/block/BlockPistonBase,net/minecraft/block/BlockPistonBase
apo,net/minecraft/tileentity/TileEntityEndPortal,net/minecraft/tileentity/TileEntityEndPortal
apr,net/minecraft/block/BlockPistonMoving,net/minecraft/block/BlockPistonMoving
apq,net/minecraft/block/BlockPistonExtension,net/minecraft/block/BlockPistonExtension
aps,net/minecraft/tileentity/TileEntityPiston,net/minecraft/tileentity/TileEntityPiston
apv,net/minecraft/world/chunk/NibbleArray,net/minecraft/world/chunk/NibbleArray
apu,net/minecraft/world/chunk/IChunkProvider,net/minecraft/world/chunk/IChunkProvider
apx,net/minecraft/world/chunk/Chunk,net/minecraft/world/chunk/Chunk
apw,net/minecraft/world/chunk/EmptyChunk,net/minecraft/world/chunk/EmptyChunk
apz,net/minecraft/world/chunk/storage/ExtendedBlockStorage,net/minecraft/world/chunk/storage/ExtendedBlockStorage
apy,net/minecraft/world/chunk/Chunk$1,net/minecraft/world/chunk/Chunk$1
aqa,net/minecraft/world/chunk/storage/NibbleArrayReader,net/minecraft/world/chunk/storage/NibbleArrayReader
aqc,net/minecraft/world/chunk/storage/IChunkLoader,net/minecraft/world/chunk/storage/IChunkLoader
aqg,net/minecraft/world/chunk/storage/ChunkLoader$AnvilConverterData,net/minecraft/world/chunk/storage/ChunkLoader$AnvilConverterData
aqf,net/minecraft/world/chunk/storage/ChunkLoader,net/minecraft/world/chunk/storage/ChunkLoader
aqi,net/minecraft/world/chunk/storage/RegionFile$ChunkBuffer,net/minecraft/world/chunk/storage/RegionFile$ChunkBuffer
aqh,net/minecraft/world/chunk/storage/RegionFile,net/minecraft/world/chunk/storage/RegionFile
aqk,net/minecraft/world/chunk/storage/AnvilChunkLoader,net/minecraft/world/chunk/storage/AnvilChunkLoader
aqj,net/minecraft/world/chunk/storage/RegionFileCache,net/minecraft/world/chunk/storage/RegionFileCache
aql,net/minecraft/world/chunk/storage/AnvilChunkLoader$PendingChunk,net/minecraft/world/chunk/storage/AnvilChunkLoader$PendingChunk
aqo,net/minecraft/world/WorldProvider,net/minecraft/world/WorldProvider
aqq,net/minecraft/world/WorldProviderSurface,net/minecraft/world/WorldProviderSurface
aqp,net/minecraft/world/WorldProviderHell,net/minecraft/world/WorldProviderHell
aqs,net/minecraft/world/gen/MapGenRavine,net/minecraft/world/gen/MapGenRavine
aqr,net/minecraft/world/WorldProviderEnd,net/minecraft/world/WorldProviderEnd
aqu,net/minecraft/world/gen/ChunkProviderFlat,net/minecraft/world/gen/ChunkProviderFlat
aqw,net/minecraft/world/gen/MapGenCaves,net/minecraft/world/gen/MapGenCaves
aqv,net/minecraft/world/gen/ChunkProviderHell,net/minecraft/world/gen/ChunkProviderHell
aqy,net/minecraft/world/gen/MapGenCavesHell,net/minecraft/world/gen/MapGenCavesHell
aqx,net/minecraft/world/gen/MapGenBase,net/minecraft/world/gen/MapGenBase
aqz,net/minecraft/world/gen/ChunkProviderGenerate,net/minecraft/world/gen/ChunkProviderGenerate
ara,net/minecraft/world/gen/ChunkProviderEnd,net/minecraft/world/gen/ChunkProviderEnd
ard,net/minecraft/world/gen/feature/WorldGenBigTree,net/minecraft/world/gen/feature/WorldGenBigTree
arc,net/minecraft/world/gen/feature/WorldGenAbstractTree,net/minecraft/world/gen/feature/WorldGenAbstractTree
arf,net/minecraft/world/gen/feature/WorldGenBlockBlob,net/minecraft/world/gen/feature/WorldGenBlockBlob
are,net/minecraft/world/gen/feature/WorldGenForest,net/minecraft/world/gen/feature/WorldGenForest
arh,net/minecraft/world/gen/feature/WorldGenCactus,net/minecraft/world/gen/feature/WorldGenCactus
arg,net/minecraft/world/gen/feature/WorldGeneratorBonusChest,net/minecraft/world/gen/feature/WorldGeneratorBonusChest
arj,net/minecraft/world/gen/feature/WorldGenClay,net/minecraft/world/gen/feature/WorldGenClay
arl,net/minecraft/world/gen/feature/WorldGenDesertWells,net/minecraft/world/gen/feature/WorldGenDesertWells
ark,net/minecraft/world/gen/feature/WorldGenDeadBush,net/minecraft/world/gen/feature/WorldGenDeadBush
arn,net/minecraft/world/gen/feature/WorldGenerator,net/minecraft/world/gen/feature/WorldGenerator
arm,net/minecraft/world/gen/feature/WorldGenDoublePlant,net/minecraft/world/gen/feature/WorldGenDoublePlant
arp,net/minecraft/world/gen/feature/WorldGenShrub,net/minecraft/world/gen/feature/WorldGenShrub
aro,net/minecraft/world/gen/feature/WorldGenFlowers,net/minecraft/world/gen/feature/WorldGenFlowers
arr,net/minecraft/world/gen/feature/WorldGenGlowStone2,net/minecraft/world/gen/feature/WorldGenGlowStone2
arq,net/minecraft/world/gen/feature/WorldGenFire,net/minecraft/world/gen/feature/WorldGenFire
ars,net/minecraft/world/gen/feature/WorldGenHellLava,net/minecraft/world/gen/feature/WorldGenHellLava
arv,net/minecraft/world/gen/feature/WorldGenIcePath,net/minecraft/world/gen/feature/WorldGenIcePath
aru,net/minecraft/world/gen/feature/WorldGenBigMushroom,net/minecraft/world/gen/feature/WorldGenBigMushroom
arx,net/minecraft/world/gen/feature/WorldGenLakes,net/minecraft/world/gen/feature/WorldGenLakes
arw,net/minecraft/world/gen/feature/WorldGenIceSpike,net/minecraft/world/gen/feature/WorldGenIceSpike
arz,net/minecraft/world/gen/feature/WorldGenMegaJungle,net/minecraft/world/gen/feature/WorldGenMegaJungle
ary,net/minecraft/world/gen/feature/WorldGenGlowStone1,net/minecraft/world/gen/feature/WorldGenGlowStone1
asa,net/minecraft/world/gen/feature/WorldGenMegaPineTree,net/minecraft/world/gen/feature/WorldGenMegaPineTree
asc,net/minecraft/world/gen/feature/WorldGenMelon,net/minecraft/world/gen/feature/WorldGenMelon
asb,net/minecraft/world/gen/feature/WorldGenHugeTrees,net/minecraft/world/gen/feature/WorldGenHugeTrees
ase,net/minecraft/world/gen/feature/WorldGenMinable,net/minecraft/world/gen/feature/WorldGenMinable
asd,net/minecraft/world/gen/feature/WorldGenDungeons,net/minecraft/world/gen/feature/WorldGenDungeons
asg,net/minecraft/world/gen/feature/WorldGenPumpkin,net/minecraft/world/gen/feature/WorldGenPumpkin
asf,net/minecraft/world/gen/feature/WorldGenTaiga1,net/minecraft/world/gen/feature/WorldGenTaiga1
asi,net/minecraft/world/gen/feature/WorldGenCanopyTree,net/minecraft/world/gen/feature/WorldGenCanopyTree
ash,net/minecraft/world/gen/feature/WorldGenReed,net/minecraft/world/gen/feature/WorldGenReed
ask,net/minecraft/world/gen/feature/WorldGenSavannaTree,net/minecraft/world/gen/feature/WorldGenSavannaTree
asj,net/minecraft/world/gen/feature/WorldGenSand,net/minecraft/world/gen/feature/WorldGenSand
asm,net/minecraft/world/gen/feature/WorldGenLiquids,net/minecraft/world/gen/feature/WorldGenLiquids
asl,net/minecraft/world/gen/feature/WorldGenSpikes,net/minecraft/world/gen/feature/WorldGenSpikes
aso,net/minecraft/world/gen/feature/WorldGenSwamp,net/minecraft/world/gen/feature/WorldGenSwamp
asn,net/minecraft/world/gen/feature/WorldGenTaiga2,net/minecraft/world/gen/feature/WorldGenTaiga2
asq,net/minecraft/world/gen/feature/WorldGenTrees,net/minecraft/world/gen/feature/WorldGenTrees
asp,net/minecraft/world/gen/feature/WorldGenTallGrass,net/minecraft/world/gen/feature/WorldGenTallGrass
ass,net/minecraft/world/gen/FlatGeneratorInfo,net/minecraft/world/gen/FlatGeneratorInfo
asr,net/minecraft/world/gen/feature/WorldGenVines,net/minecraft/world/gen/feature/WorldGenVines
ast,net/minecraft/world/gen/FlatLayerInfo,net/minecraft/world/gen/FlatLayerInfo
asw,net/minecraft/world/gen/structure/MapGenMineshaft,net/minecraft/world/gen/structure/MapGenMineshaft
asv,net/minecraft/world/gen/structure/StructureBoundingBox,net/minecraft/world/gen/structure/StructureBoundingBox
asy,net/minecraft/world/gen/structure/StructureMineshaftPieces$Corridor,net/minecraft/world/gen/structure/StructureMineshaftPieces$Corridor
asx,net/minecraft/world/gen/structure/StructureMineshaftPieces,net/minecraft/world/gen/structure/StructureMineshaftPieces
asz,net/minecraft/world/gen/structure/StructureMineshaftPieces$Cross,net/minecraft/world/gen/structure/StructureMineshaftPieces$Cross
atb,net/minecraft/world/gen/structure/StructureMineshaftPieces$Stairs,net/minecraft/world/gen/structure/StructureMineshaftPieces$Stairs
ata,net/minecraft/world/gen/structure/StructureMineshaftPieces$Room,net/minecraft/world/gen/structure/StructureMineshaftPieces$Room
atd,net/minecraft/world/gen/structure/MapGenNetherBridge,net/minecraft/world/gen/structure/MapGenNetherBridge
atc,net/minecraft/world/gen/structure/StructureMineshaftStart,net/minecraft/world/gen/structure/StructureMineshaftStart
atf,net/minecraft/world/gen/structure/StructureNetherBridgePieces,net/minecraft/world/gen/structure/StructureNetherBridgePieces
ate,net/minecraft/world/gen/structure/MapGenNetherBridge$Start,net/minecraft/world/gen/structure/MapGenNetherBridge$Start
ath,net/minecraft/world/gen/structure/StructureNetherBridgePieces$End,net/minecraft/world/gen/structure/StructureNetherBridgePieces$End
atg,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing3,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing3
atj,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor3,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor3
ati,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Straight,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Straight
atl,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Entrance,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Entrance
atk,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor4,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor4
atn,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor
atm,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing2,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing2
atp,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor2,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor2
ato,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor5,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor5
atr,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Throne,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Throne
atq,net/minecraft/world/gen/structure/StructureNetherBridgePieces$NetherStalkRoom,net/minecraft/world/gen/structure/StructureNetherBridgePieces$NetherStalkRoom
att,net/minecraft/world/gen/structure/StructureNetherBridgePieces$PieceWeight,net/minecraft/world/gen/structure/StructureNetherBridgePieces$PieceWeight
ats,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Piece,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Piece
atv,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Stairs,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Stairs
atu,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing
atx,net/minecraft/world/gen/structure/MapGenScatteredFeature,net/minecraft/world/gen/structure/MapGenScatteredFeature
atw,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Start,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Start
atz,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces
aty,net/minecraft/world/gen/structure/MapGenScatteredFeature$Start,net/minecraft/world/gen/structure/MapGenScatteredFeature$Start
aua,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$1,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$1
auc,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid
aub,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$DesertPyramid,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$DesertPyramid
aue,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$Feature,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$Feature
aud,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid$Stones,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid$Stones
aug,net/minecraft/world/gen/structure/MapGenStronghold,net/minecraft/world/gen/structure/MapGenStronghold
auf,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$SwampHut,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$SwampHut
aui,net/minecraft/world/gen/structure/StructureStrongholdPieces,net/minecraft/world/gen/structure/StructureStrongholdPieces
auh,net/minecraft/world/gen/structure/MapGenStronghold$Start,net/minecraft/world/gen/structure/MapGenStronghold$Start
auk,net/minecraft/world/gen/structure/StructureStrongholdPieces$2,net/minecraft/world/gen/structure/StructureStrongholdPieces$2
auj,net/minecraft/world/gen/structure/StructureStrongholdPieces$1,net/minecraft/world/gen/structure/StructureStrongholdPieces$1
aum,net/minecraft/world/gen/structure/StructureStrongholdPieces$ChestCorridor,net/minecraft/world/gen/structure/StructureStrongholdPieces$ChestCorridor
aul,net/minecraft/world/gen/structure/StructureStrongholdPieces$SwitchDoor,net/minecraft/world/gen/structure/StructureStrongholdPieces$SwitchDoor
auo,net/minecraft/world/gen/structure/StructureStrongholdPieces$Crossing,net/minecraft/world/gen/structure/StructureStrongholdPieces$Crossing
aun,net/minecraft/world/gen/structure/StructureStrongholdPieces$Corridor,net/minecraft/world/gen/structure/StructureStrongholdPieces$Corridor
auq,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library
aup,net/minecraft/world/gen/structure/StructureStrongholdPieces$LeftTurn,net/minecraft/world/gen/structure/StructureStrongholdPieces$LeftTurn
aus,net/minecraft/world/gen/structure/StructureStrongholdPieces$PortalRoom,net/minecraft/world/gen/structure/StructureStrongholdPieces$PortalRoom
aur,net/minecraft/world/gen/structure/StructureStrongholdPieces$PieceWeight,net/minecraft/world/gen/structure/StructureStrongholdPieces$PieceWeight
auu,net/minecraft/world/gen/structure/StructureStrongholdPieces$RightTurn,net/minecraft/world/gen/structure/StructureStrongholdPieces$RightTurn
aut,net/minecraft/world/gen/structure/StructureStrongholdPieces$Prison,net/minecraft/world/gen/structure/StructureStrongholdPieces$Prison
auw,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stones,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stones
auv,net/minecraft/world/gen/structure/StructureStrongholdPieces$RoomCrossing,net/minecraft/world/gen/structure/StructureStrongholdPieces$RoomCrossing
auy,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stairs,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stairs
auz,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stairs2,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stairs2
avb,net/minecraft/world/gen/structure/StructureStrongholdPieces$StairsStraight,net/minecraft/world/gen/structure/StructureStrongholdPieces$StairsStraight
ava,net/minecraft/world/gen/structure/StructureStrongholdPieces$Straight,net/minecraft/world/gen/structure/StructureStrongholdPieces$Straight
avd,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stronghold$Door,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stronghold$Door
avc,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stronghold,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stronghold
avf,net/minecraft/world/gen/structure/MapGenStructure$1,net/minecraft/world/gen/structure/MapGenStructure$1
ave,net/minecraft/world/gen/structure/MapGenStructure,net/minecraft/world/gen/structure/MapGenStructure
avh,net/minecraft/world/gen/structure/MapGenStructure$3,net/minecraft/world/gen/structure/MapGenStructure$3
avg,net/minecraft/world/gen/structure/MapGenStructure$2,net/minecraft/world/gen/structure/MapGenStructure$2
avj,net/minecraft/world/gen/structure/MapGenStructureData,net/minecraft/world/gen/structure/MapGenStructureData
avi,net/minecraft/world/gen/structure/MapGenStructureIO,net/minecraft/world/gen/structure/MapGenStructureIO
avl,net/minecraft/world/gen/structure/StructureComponent$BlockSelector,net/minecraft/world/gen/structure/StructureComponent$BlockSelector
avk,net/minecraft/world/gen/structure/StructureComponent,net/minecraft/world/gen/structure/StructureComponent
avn,net/minecraft/world/gen/structure/MapGenVillage,net/minecraft/world/gen/structure/MapGenVillage
avm,net/minecraft/world/gen/structure/StructureStart,net/minecraft/world/gen/structure/StructureStart
avp,net/minecraft/world/gen/structure/StructureVillagePieces,net/minecraft/world/gen/structure/StructureVillagePieces
avo,net/minecraft/world/gen/structure/MapGenVillage$Start,net/minecraft/world/gen/structure/MapGenVillage$Start
avr,net/minecraft/world/gen/structure/StructureVillagePieces$Field1,net/minecraft/world/gen/structure/StructureVillagePieces$Field1
avq,net/minecraft/world/gen/structure/StructureVillagePieces$House1,net/minecraft/world/gen/structure/StructureVillagePieces$House1
avt,net/minecraft/world/gen/structure/StructureVillagePieces$Torch,net/minecraft/world/gen/structure/StructureVillagePieces$Torch
avs,net/minecraft/world/gen/structure/StructureVillagePieces$Field2,net/minecraft/world/gen/structure/StructureVillagePieces$Field2
avv,net/minecraft/world/gen/structure/StructureVillagePieces$Hall,net/minecraft/world/gen/structure/StructureVillagePieces$Hall
avu,net/minecraft/world/gen/structure/StructureVillagePieces$PieceWeight,net/minecraft/world/gen/structure/StructureVillagePieces$PieceWeight
avx,net/minecraft/world/gen/structure/StructureVillagePieces$WoodHut,net/minecraft/world/gen/structure/StructureVillagePieces$WoodHut
avw,net/minecraft/world/gen/structure/StructureVillagePieces$House4Garden,net/minecraft/world/gen/structure/StructureVillagePieces$House4Garden
avz,net/minecraft/world/gen/structure/StructureVillagePieces$House2,net/minecraft/world/gen/structure/StructureVillagePieces$House2
avy,net/minecraft/world/gen/structure/StructureVillagePieces$Church,net/minecraft/world/gen/structure/StructureVillagePieces$Church
awa,net/minecraft/world/gen/structure/StructureVillagePieces$Start,net/minecraft/world/gen/structure/StructureVillagePieces$Start
awc,net/minecraft/world/gen/structure/StructureVillagePieces$House3,net/minecraft/world/gen/structure/StructureVillagePieces$House3
awb,net/minecraft/world/gen/structure/StructureVillagePieces$Path,net/minecraft/world/gen/structure/StructureVillagePieces$Path
awe,net/minecraft/world/gen/structure/StructureVillagePieces$Road,net/minecraft/world/gen/structure/StructureVillagePieces$Road
awd,net/minecraft/world/gen/structure/StructureVillagePieces$Village,net/minecraft/world/gen/structure/StructureVillagePieces$Village
awf,net/minecraft/world/gen/structure/StructureVillagePieces$Well,net/minecraft/world/gen/structure/StructureVillagePieces$Well
awk,net/minecraft/world/gen/NoiseGeneratorOctaves,net/minecraft/world/gen/NoiseGeneratorOctaves
awj,net/minecraft/world/gen/NoiseGeneratorImproved,net/minecraft/world/gen/NoiseGeneratorImproved
awl,net/minecraft/world/gen/NoiseGeneratorPerlin,net/minecraft/world/gen/NoiseGeneratorPerlin
awo,net/minecraft/world/gen/NoiseGeneratorSimplex,net/minecraft/world/gen/NoiseGeneratorSimplex
awq,net/minecraft/block/material/MaterialLogic,net/minecraft/block/material/MaterialLogic
awp,net/minecraft/world/gen/NoiseGenerator,net/minecraft/world/gen/NoiseGenerator
aws,net/minecraft/block/material/MaterialLiquid,net/minecraft/block/material/MaterialLiquid
awr,net/minecraft/block/material/MaterialTransparent,net/minecraft/block/material/MaterialTransparent
awu,net/minecraft/block/material/Material$1,net/minecraft/block/material/Material$1
awt,net/minecraft/block/material/Material,net/minecraft/block/material/Material
aww,net/minecraft/block/material/MaterialPortal,net/minecraft/block/material/MaterialPortal
awv,net/minecraft/block/material/MapColor,net/minecraft/block/material/MapColor
awy,net/minecraft/world/gen/layer/GenLayerEdge,net/minecraft/world/gen/layer/GenLayerEdge
awx,net/minecraft/world/gen/layer/GenLayerDeepOcean,net/minecraft/world/gen/layer/GenLayerDeepOcean
